query,answer
Правовая основа закупочной деятельности Корпорации и организаций Корпорации,"Сфера действия Положения Настоящее Положение определяет единые правила осуществления закупочной деятельности и подлежит обязательному применению в Корпорации и в организациях Корпорации, которые присоединились к нему в порядке, установленном в подразделе 1.3 Положения, вне зависимости от их организационно-правовой формы, направлений деятельности, особенностей управления и уровня подчинения Корпорации. Положение разработано в соответствии с Конституцией Российской Федерации, Гражданским кодексом Российской Федерации, Законом 223-ФЗ, Законом 135-ФЗ, Законом 270-ФЗ, Законом 275-ФЗ, другими федеральными законами и иными нормативными правовыми актами Российской Федерации. Действие Положения распространяется на закупки всех видов продукции, приобретаемой на возмездной основе путем заключения соответствующего договора согласно требованиям законодательства, в том числе для целей коммерческого использования продукции, за исключением случаев, указанных в подразделе 1.2 Положения. Положение регламентирует закупки продукции любой стоимости и в любой валюте, осуществляемые заказчиками, находящимися в российской юрисдикции, вне зависимости от страны заключения / исполнения договора. При закупке продукции заказчики руководствуются Конституцией Российской Федерации, Гражданским кодексом Российской Федерации, Законом 223-ФЗ, Законом 275-ФЗ, другими федеральными законами и иными нормативными правовыми актами Российской Федерации (в зависимости от отнесения их к I или II группе), нормами Положения, а также правовыми актами Корпорации, регламентирующими вопросы закупочной деятельности, в том числе разрабатываемыми в соответствии с настоящим Положением и принятыми в его развитие. В целях развития норм, закрепленных в Положении, а также урегулирования отношений, не подлежащих отражению в Положении в силу требований, установленных Законом 223-ФЗ, Корпорация вправе принимать правовые акты, направленные на обеспечение взаимодействия структурных подразделений заказчика, организатора, специализированной организации, и на совершенствование единого корпоративного методологического подхода к порядку реализации закупочной деятельности. В случае, если отдельные отношения, связанные с осуществлением закупочной деятельности, не урегулированы нормами Положения, а также в случае противоречия норм настоящего Положения и/или правовых актов Корпорации, регламентирующих вопросы закупочной деятельности, Конституции Российской Федерации, федеральным законам и иным нормативным правовым актам Российской Федерации, в том числе принятым после утверждения настоящего Положения, действуют положения Конституции Российской Федерации, федеральных законов и иных нормативных правовых актов Российской Федерации, а также нормы Положения и иных правовых актов Корпорации в части, не противоречащей законодательству. При возникновении противоречий между настоящим Положением и иными правовыми актами Корпорации, регламентирующими вопросы закупочной деятельности, преимущество имеет настоящее Положение. Положение утверждается Наблюдательным советом Корпорации. В случае если извещение размещено до даты вступления в силу настоящего Положения или изменений к нему и/или до даты присоединения к Положению / изменениям Положения в порядке, установленном в подразделе 1.3 Положения, проведение такой закупки и подведение ее итогов осуществляются в порядке, действовавшем на дату официального размещения извещения. В случае если какие-либо вопросы не урегулированы настоящим Положением, необходимые сведения и информация могут быть уточнены в извещении, документации о закупке с учетом целей и принципов закупочной деятельности, установленных в Положении, и норм законодательства. Если в извещении, документации о закупке не урегулированы отдельные положения, заказчик, организатор закупки, специализированная организация, участники руководствуются настоящим Положением, а при отсутствии нормы в настоящем Положении – законодательством. Особенности осуществления конкурентных закупок в электронной форме, участниками которых с учетом особенностей, установленных Правительством Российской Федерации в соответствии с пунктом 2 части 8 статьи 3 Закона 223-ФЗ, могут быть только субъекты малого и среднего предпринимательства, могут быть определены регламентом ЭТП, на которой проводится соответствующая закупка. Исключения из сферы действия Положения Положение является обязательным для применения заказчиками, которые присоединились к нему в порядке, установленном в подразделе 1.3 Положения. Положение не применяется заказчиками в случаях, прямо указанных в части 4 статьи 1 Закона 223-ФЗ. Положение не применяется к заказчикам II группы, если в соответствии с условиями инвестиционного соглашения или кредитного договора такой заказчик должен применять иной порядок проведения соответствующих закупок; в данном случае Положение применяется в части, не противоречащей указанному порядку. Особые закупочные ситуации, в которых нормы настоящего Положения могут применяться ограниченно, установлены в разделе 19. Положения. Порядок присоединения к Положению Присоединение организации Корпорации к настоящему Положению осуществляется путем принятия соответствующего решения органом управления организации Корпорации, имеющим необходимые полномочия согласно нормам законодательства и учредительных документов. В случае внесения Корпорацией изменений в Положение, размещение каждых очередных изменений в ЕИС является основанием для присоединившейся к Положению организации Корпорации принять решение о присоединении к таким изменениям. Такое решение присоединившаяся организация Корпорации принимает в течение 15 (пятнадцати) дней с даты размещения Корпорацией в ЕИС каждого изменения Положения и размещает в ЕИС (для заказчиков I группы). Организация Корпорации в течение 10 (десяти) дней с даты принятия органом управления организации Корпорации, имеющим необходимые полномочия согласно нормам законодательства и учредительных документов, решения о присоединении к Положению и/или к каждому изменению к Положению направляет уведомление и копию соответствующего решения в ЗП Корпорации. Решение о присоединении к Положению принимается заказчиком с учетом правовых актов Корпорации, регламентирующих вопросы закупочной деятельности, в том числе – издаваемых в его развитие и являющихся обязательными для исполнения заказчиком, присоединившимся к настоящему Положению."
Цели и принципы закупочной деятельности,"Основные цели закупочной деятельности Основными целями закупочной деятельности являются: своевременное и полное удовлетворение потребностей заказчиков в продукции с необходимыми показателями цены, качества и надежности; эффективное использование денежных средств, направляемых на закупку продукции, снижение прямых и косвенных издержек на приобретаемую продукцию; расширение возможностей для участия юридических и физических лиц, в том числе индивидуальных предпринимателей, в закупках продукции путем обеспечения информационной открытости, гласности и прозрачности закупочной деятельности; повышение инвестиционной привлекательности организаций Корпорации за счет регламентации закупочной деятельности; предотвращение возможных ошибок и злоупотреблений в сфере закупочной деятельности. Принципы закупочной деятельности Основными принципами осуществления закупок являются: информационная открытость закупок, обеспечение гласности и прозрачности закупок; равноправие, справедливость, отсутствие дискриминации и необоснованного ограничения конкуренции по отношению к участникам; обеспечение целевого и экономически эффективного расходования денежных средств на приобретение продукции (с учетом, при необходимости, стоимости жизненного цикла закупаемой продукции) и реализация мер, направленных на сокращение издержек заказчика; отсутствие ограничения допуска к участию в закупке путем установления неизмеряемых требований к участникам. Организационно-методические основы реализации целей и принципов закупочной деятельности Для достижения заявленных целей и принципов закупочной деятельности используются следующие организационно-методические подходы: установление обоснованных требований к закупаемой продукции, условиям договора, участникам с точки зрения интересов и потребностей заказчика; ответственность за принимаемые уполномоченными лицами заказчиков решения в сфере закупочной деятельности и за достигнутый целевой результат; соблюдение при закупках следующих требований: применимого к деятельности соответствующего заказчика законодательства, в том числе с учетом приоритетов, установленных в части 2 статьи 2 Закона 275-ФЗ; корпоративных стандартов и норм; внедрение эффективных инструментов организации закупочного процесса, мониторинг их результативности и проведение мероприятий, направленных на актуализацию нормативно-правовой, организационной и технологической базы закупочной деятельности на единых началах в масштабе Корпорации; совершенствование закупочного процесса за счет внедрения современных информационных технологий (в том числе использования электронной формы проведения закупок); внедрение единых подходов к управлению закупками в масштабе Корпорации; использование эффекта синергии, достигаемого в результате применения механизма централизованных (консолидированных) закупок, в том числе с привлечением ИДО; внедрение системного и профессионального подхода к организации закупочной деятельности, основанного на взаимодействии таких элементов, как нормативная база, система органов управления закупками, специализированная организация, квалифицированный персонал, автоматизация закупочной деятельности; установление взаимосвязи между процессами закупочной деятельности и процессами бюджетирования (планирование закупок как элемент обоснования расходной части бюджета); установление взаимосвязи между результатами закупочной деятельности и процессом финансирования заключаемых договоров; обеспечение необходимой внешней информационной открытости закупочной деятельности заказчиков, а также внутренней прозрачности принимаемых решений для вышестоящих в масштабе Корпорации органов управления и контроля; применение различных механизмов мотивации работников, задействованных в процессах закупки продукции, включая определение ключевых показателей эффективности их работы, а также проведение регулярного повышения квалификации указанных работников; применение категорийного подхода на всех стадиях закупочной деятельности. При организации закупочной деятельности заказчик использует следующие инструменты: планирование закупочной деятельности посредством осуществления комплекса мероприятий, направленных на определение оптимального объема необходимой продукции, которая должна быть закуплена в течение планируемого периода; учет особенностей закупаемой продукции, рынков и ситуаций, в которых проводится закупка; применение наиболее подходящих для конкретной закупочной ситуации способов и элементов закупок; использование конкурентных способов выбора поставщиков, где это возможно и целесообразно, и усиленного контроля за принятием решений о проведении закупки в ситуациях, когда использование конкурентных способов закупки невозможно или нецелесообразно; внедрение организационной структуры закупочной деятельности с налаженной инфраструктурой (информационное обеспечение, электронная торговая площадка, профессиональные консультанты, специализированная организация); коллегиальное принятие решений по наиболее важным вопросам, возникающим при проведении закупочных процедур; разработка и использование типовых форм и шаблонов извещения, документации о закупке и иных документов (протоколов, проектов договоров и т.п.); повышение профессионализма и компетентности работников заказчика в организации и проведении закупочных процедур; контроль за исполнением договора и использованием приобретенной продукции; категорийные стратегии, разработанные в соответствии с порядком, определенным правовым актом Корпорации, и определяющие модель поведения заказчика при закупках определенных видов (категорий) продукции."
Информационное обеспечение,"Официальное размещение Официальное размещение информации о закупке, а также любой другой информации и документов, которые должны быть размещены в соответствии с требованиями Закона 223-ФЗ, ПП 908 и иных НПА, принятых в развитие Закона 223-ФЗ, а также Положения, осуществляется: на официальном сайте ЕИС – для заказчиков I группы, не отвечающих требованиям ПП 301, кроме случая, предусмотренного подп. 3.1(2) Положения; на официальном сайте ЕИС – для заказчиков I группы в части информации, предусмотренной подп. 3.2(1) Положения; в ЕИС (без размещения на официальном сайте ЕИС) – для заказчиков I группы, отвечающих требованиям ПП 301; на ЗЭТП, ЕАТ – для заказчиков II группы; путем одновременного направления соответствующей информации всем лицам, определенным заказчиком, при проведении закупок в бумажной форме. Доступ к информации о закупке с учетом п. 3.1.1 Положения предоставляется путем: размещения на официальном сайте ЕИС информации о закупке, доступной неограниченному кругу лиц, в случаях, предусмотренных подп. 3.1(1) Положения; одновременного направления с использованием программно-аппаратных средств ЗЭТП приглашений принять участие в закрытой процедуре закупки лицам, определенным заказчиком в соответствии с Положением, с приложением соответствующей информации и документов при проведении закрытой конкурентной закупки в электронной форме, ценового запроса, состязательных переговоров; одновременного направления приглашений принять участие в закрытой процедуре закупки лицам, определенным заказчиком в соответствии с Положением, с приложением извещения (документации о закупке) при проведении закрытой конкурентной закупки в бумажной форме; размещения информации о закупке на ЕАТ при проведении упрощенной закупки. Официально размещаемые сведения должны соответствовать утвержденным и/или подписанным в установленном порядке оригиналам документов, в которых содержатся размещаемые сведения. Порядок и особенности размещения отдельных видов информации о закупке, в том числе при проведении неконкурентных процедур закупки на основании подп. 6.1.1(а) – 6.1.1(е) Положения могут устанавливаться Положением в части, не противоречащей Закону 223-ФЗ, ПП 908 и иным НПА, принятыми в развитие Закона 223-ФЗ. Решение о проведении закрытых конкурентных закупок в бумажной форме должно приниматься ответственными лицами заказчика по согласованию с СПДБ при условии соблюдения требований к режиму обращения и защиты информации ограниченного распространения. Заказчики II группы размещают информацию о закупке на ЗЭТП (при проведении конкурса, редукциона, тендера, запроса цен, состязательных переговоров, ценового запроса), ЕАТ (при проведении упрощенной закупки) без размещения в ЕИС, на официальном сайте ЕИС, на официальном сайте заказчика или в иных источниках информации. Порядок и особенности официального размещения информации о закупке в ЕИС и/или на официальном сайте ЕИС могут быть установлены Правительством Российской Федерации. В случае установления Правительством Российской Федерации таких порядка и особенностей действуют нормы соответствующего акта Правительства Российской Федерации, а Положение применяется в части, не противоречащей такому акту. Информационное взаимодействие субъектов закупочной деятельности (раздел 4. Положения), органов управления закупочной деятельностью (раздел 5. Положения) осуществляется в порядке, установленном Положением и принятыми в развитие Положения правовыми актами Корпорации. Виды размещаемой информации и сроки размещения Если иное прямо не установлено законодательством или Положением, заказчики, исходя из требований подп. 3.1(1) –3.1(5) Положения, официально размещают следующую информацию в установленные сроки: Положение, изменения, вносимые в Положение (для заказчика 1-го уровня), решение о присоединении к Положению, изменениям Положения (для заказчиков 2-го и 3-го уровней I  группы) – в течение 15 (пятнадцати) дней со дня утверждения / принятия Положения / размещения каждого изменения Положения; извещение, документация о конкурентной закупке, включая все приложения к ней – в сроки, установленные Приложение 2 для каждого конкурентного способа закупки (п. 8.1.5, подп. 8.2(1), п. 12.2.1 Положения); извещение о проведении неконкурентной закупки, включая все приложения к нему – в сроки, установленные разделом 16. Положения (подп. 16.2(6), 16.3(9) Положения); изменения, вносимые в извещение и/или документацию о конкурентной закупке, – не позднее 3 (трех) дней со дня принятия решения о внесении таких изменений и не позднее установленного Положением срока до даты окончания подачи заявок, в зависимости от способа закупки; разъяснения извещения, документации о конкурентной закупке – в течение 3 (трех) рабочих дней с даты поступления запроса; решение об отмене торгов, проводимых заказчиками I, II группы, – в день принятия такого решения; решение об отмене редукциона, тендера, запроса цен – не позднее 3 (трех) дней со дня принятия решения об отмене закупки и не позднее даты подведения итогов закупки; в случае отказа от заключения договора – не позднее 3 (трех) рабочих дней со дня принятия решения об отказе от заключения договора; протоколы, составляемые в процессе проведения закупки, в том числе по каждому этапу конкурентной закупки, предусмотренному в документации о закупке, и протокол по итогам конкурентной закупки (итоговый протокол) – не позднее 3 (трех) дней со дня подписания таких протоколов, а протокол аукциона / редукциона – в течение 3 (трех) дней с даты проведения аукциона / редукциона; иные документы, требуемые к размещению в соответствии с Законом 223-ФЗ и принятыми в его развитие нормативными правовыми актами, в установленные в них сроки. Если иное прямо не установлено законодательством или настоящим Положением, заказчики I группы официально размещают также следующую информацию в установленные сроки: ПЗ – в течение 10 (десяти) дней со дня утверждения, но не позднее 31 декабря текущего календарного года; ПЗИП – в течение 10 (десяти) дней со дня утверждения; изменения в ПЗ, ПЗИП – в течение 10 (десяти) дней с даты внесения изменений; сведения об изменении количества, объема, цены приобретаемой продукции, о сроках исполнения договора относительно информации, содержащейся в протоколе, составленном по итогам проведения закупки (итоговом протоколе), произошедшие при заключении, исполнении договора, – не позднее 10 (десяти) дней со дня внесения соответствующих изменений в договор; информацию и документы по договору, заключенному заказчиком по результатам закупки, включаемые в реестр договоров, – в объеме и в сроки, установленные в соответствии с законодательством; сведения о договорах, заключенных по результатам закупок, предусмотренные в части 19 статьи 4 Закона 223-ФЗ, – ежемесячно, не позднее 10 (десятого) числа месяца, следующего за отчетным месяцем; перечень товаров, работ, услуг, закупки которых осуществляются у субъектов МСП – в течение 10 (десяти) дней со дня утверждения (применимо к заказчикам I группы, в отношении которых действуют нормы законодательства об обязанности ведения такого перечня); годовой отчет о закупке продукции у субъектов МСП (применимо к заказчикам I группы, в отношении которых действуют нормы законодательства об обязанности осуществлять такие закупки) – не позднее 1 февраля года, следующего за прошедшим календарным годом; годовой отчет о закупке инновационной продукции, высокотехнологичной продукции, в том числе у субъектов МСП (применимо к заказчикам I группы, в отношении которых действуют нормы законодательства об обязанности осуществлять такие закупки) – не позднее 1 февраля года, следующего за отчетным. Если иное прямо не установлено законодательством или настоящим Положением, заказчики II группы официально размещают в ЕИС информацию об объеме выручки в соответствии с частью 2.1 статьи 1 Закона 223-ФЗ. При проведении открытых закупок в электронной форме организатор закупки обеспечивает одновременное (в тот же день, что и официальное размещение) размещение документов, указанных в подп. (2) – (8) Положения, на ЭТП с обязательным указанием места их официального размещения. При проведении закупок в электронной форме на ЗЭТП официальное размещение документов, указанных в подп. (2) – (8) Положения, осуществляется согласно подп. 3.1(3), 3.1(4) Положения. При неконкурентной закупке по основаниям, предусмотренным п. 6.6.2 Положения, заказчики официально размещают информацию о такой закупке, предусмотренную подразделом 16.1 Положения, кроме случаев, указанных в п. 3.3.1 – 3.3.7 Положения. Запрет на открытое размещение информации и право не размещать информацию Если иное прямо не установлено законодательством, заказчики I и II группы не размещают в ЕИС, на официальном сайте заказчика, на ЭТП, на ЗЭТП сведения о закупке, составляющие государственную тайну, при условии, что такие сведения содержатся в извещении, документации о закупке (подраздел 19.5 Положения). Если иное не предусмотрено требованиями Закона 223-ФЗ и принятых в его развитие НПА (с учетом требований п. 3.1.7 Положения) заказчики I и II группы не размещают в ЕИС, на официальном сайте ЕИС, на официальном сайте заказчика, на ЭТП сведения: о закупке, осуществляемой в рамках выполнения ГОЗ в целях обеспечения обороны и безопасности Российской Федерации в части заказов на создание, модернизацию, поставки, ремонт, сервисное обслуживание и утилизацию вооружения, военной и специальной техники, на разработку, производство и поставки космической техники и объектов космической инфраструктуры; о закупке услуг по привлечению во вклады (включая размещение депозитных вкладов) денежных средств заказчиков, получению кредитов и займов, доверительному управлению денежными средствами и иным имуществом, выдаче банковских гарантий и поручительств, предусматривающих исполнение обязательств в денежной форме, открытию и ведению счетов, включая аккредитивы, о закупке брокерских услуг, услуг депозитариев; о закупке, связанной с заключением и исполнением договора купли-продажи, аренды (субаренды), договора доверительного управления государственным или муниципальным имуществом, иного договора, предусматривающего переход прав владения и (или) пользования в отношении недвижимого имущества; о закупке продукции, осуществляемой в соответствии с установленным порядком, заказчиком, определенным Правительством Российской Федерации или Министерством обороны Российской Федерации или субъектом Российской Федерации единственным поставщиком (подрядчиком, исполнителем). Если иное не предусмотрено требованиями Закона 223-ФЗ и принятых в его развитие НПА (с учетом требований п. 3.1.7 Положения) при проведении закупок, предусмотренных подп. (1) – 3.3(4) Положения, не осуществляется формирование, утверждение и ведение ПЗ, ПЗИП, не осуществляется размещение информации в ЕИС, на официальном сайте ЕИС, в том числе в реестре договоров. Особенности официального размещения информации о закупках, проводимых в случаях, определенных Правительством Российской Федерации в соответствии с частью 16 статьи 4 Закона 223-ФЗ, установлены подразделом 19.6 Положения. Заказчики II группы не размещают в ЕИС, на официальном сайте заказчика, на ЭТП сведения о закупке, предмет которой составляет коммерческую тайну и/или служебную информацию ограниченного распространения (подраздел 19.7 Положения). Если иное не предусмотрено требованиями Закона 223-ФЗ и принятых в его развитие НПА (с учетом требований п. 3.1.7 Положения) заказчики не размещают в ЕИС и/или на официальном сайте заказчика сведения о: закупке продукции, проводимой на основании неконкурентных способов закупки, предусмотренных подп. 6.1.1(а) - 6.1.1(е) Положения (за исключением сведений, подлежащих включению в ПЗ (ПЗИП), реестр договоров в ЕИС); о конкретной закупке, определенной координационным органом Правительства Российской Федерации, сведения о которой не составляют государственную тайну, но не подлежат размещению в ЕИС при реализации инвестиционных проектов, указанных в части 1 статьи 3.1 Закона 223-ФЗ (если в отношении такой закупки Правительством Российской Федерации не принято решение в соответствии с пунктом 1 части 16 статьи 4 Закона 223-ФЗ (подп. (1) Положения); о закупке конкретных видов продукции машиностроения, определенных координационным органом Правительства Российской Федерации, которая включается в перечни перспективных потребностей в продукции машиностроения, необходимой для реализации предусмотренных частью 1 статьи 3.1 Закона 223-ФЗ инвестиционных проектов, и сведения о закупке которой не составляют государственную тайну, но не подлежат размещению в ЕИС при реализации таких инвестиционных проектов (если в отношении таких видов (групп) продукции Правительством Российской Федерации не принято решение в соответствии c пунктом 2 части 16 статьи 4 Закона 223-ФЗ (подп. (1) Положения). Заказчики вправе не размещать в ЕИС и/или на официальном сайте заказчика сведения о закупках, НМЦ которых не превышает 100 000 рублей с НДС, а в случае, если годовая выручка заказчика за отчетный финансовый год составит более чем 5 000 000 000 рублей – 500 000 рублей с НДС. Сведения о таких закупках могут не включаться в РПЗ только в случае проведения закупки малого объема у единственного поставщика по подп. 6.6(39) Положения, НМЦ которой, в том числе с учетом особенностей, установленных в п. 19.26.2 Положения, не превышает 100 000 рублей с НДС, а в случае, если годовая выручка заказчика за отчетный финансовый год составит более чем 5 000 000 000 рублей – 500 000 рублей с НДС. В формируемых в ходе проведения закупок протоколах не указываются данные о составе ЗК, СЗК и персональном голосовании. В случаях, предусмотренных статьей 3.1-1 Закона 223-ФЗ, до согласования эксплуатационных характеристик с координационным органом Правительства Российской Федерации по согласованию закупок заказчиков не подлежат размещению в ЕИС сведения о закупке продукции из перечня товаров с НМЦ договора, превышающей величину, установленную Правительством Российской Федерации, в том числе использование которых предусмотрено условиями закупок, предметом которых являются выполнение работ, оказание услуг, аренда (включая фрахтование, финансовую аренду), и (или) возможности осуществления таких закупок за пределами территории Российской Федерации.  Система управления закупочной деятельностью"
