query,answer
"Каким образом осуществляется присоединение организации атомной отрасли к ЕОСЗ?"," Организации атомной отрасли присоединяются к Стандарту и распорядительным документам Корпорации в области закупок, выпущенным в развитие Стандарта, а также иным распорядительным документам, отраслевым решениям коллегиальных органов Корпорации, утвержденным (принятым) в соответствии с настоящим Стандартом и распространяющим свое действие на организации атомной отрасли. Присоединение организации атомной отрасли осуществляется путем оформления решения о присоединении уполномоченным органом организации в порядке, установленном законодательством, Стандартом, учредительными документами такой организации, а также распорядительными документами генерального директора Корпорации в соответствии с п. б) ч. 1 ст. 3.2."
"Какие закупки согласно ЕОСЗ являются конкурентными?","1. Конкурентная закупка в электронной форме, участниками которой с учетом особенностей, установленных Правительством Российской Федерации в соответствии с пунктом 2 части 8 статьи 3 настоящего Федерального закона, могут быть только субъекты малого и среднего предпринимательства (далее также - конкурентная закупка с участием субъектов малого и среднего предпринимательства), осуществляется в соответствии со статьями 3.2 и 3.3 настоящего Федерального закона и с учетом требований, предусмотренных настоящей статьей.2. Конкурентная закупка с участием субъектов малого и среднего предпринимательства осуществляется путем проведения конкурса в электронной форме, аукциона в электронной форме, запроса котировок в электронной форме или запроса предложений в электронной форме."
"Какие способы закупки являются торгами для заказчиков 1 группы?","К первой группе конкурентному способу закупок, относится весь остальной массив способов определения поставщиков: конкурс; аукцион; запрос котировок;запрос предложений."
"Какие способы закупки являются торгами для заказчиков 2 группы?","К второй группе конкурентному способу закупок, только конкурс; "
"На сколько групп разделяются заказчики атомной отрасли?","а) заказчики первой группы - заказчики, осуществляющие закупки, регулируемые Законом N 223-ФЗ и настоящим Стандартом;б) заказчики второй группы - заказчики, осуществляющие закупки, регулируемые настоящим Стандартом, и не регулируемые указанным законом.Один и тот же заказчик в зависимости от вида законодательного регулирования осуществляемой закупки может являться как заказчиком первой группы, так и заказчиком второй группы."
"Сведения составляющие государственную тайну, содержатся в проекте договора. Размещаются ли сведения о такой закупке на официальных сайтах, ЭТП и иных средствах массовой информации (в случае размещения)? ","Сведения, составляющие государственную тайну, в единой информационной системе не размещаются."
"На сколько типов разделяются заказчики атомной отрасли?","По объему полномочий в управлении закупочной деятельностью все организации атомной отрасли подразделяются на следующие типы:а) заказчик первого типа - Корпорация;б) заказчики второго типа - заказчики, для которых приказом Корпорации установлен РО - ЦЗК;в) заказчики третьего типа - заказчики, имеющие в качестве РО, кроме ЦЗК, также ПДЗК (в зависимости от предусмотренного Стандартом распределения их полномочий);г) заказчики четвертого типа - заказчики, не имеющие в качестве РО ЦЗК и/или ПДЗК и осуществляющие закупки в соответствии со Стандартом."
"Что такое продукция согласно ЕОСЗ?","товары, работы, услуги, иные объекты гражданских прав, приобретаемые заказчиком на возмездной основе"
"При проведении каких закупок не требуется создание закупочной комиссии?","Создание комиссионной группы для организации закупки у единственного поставщика не требуется. Такая комиссия нужна только при проведении конкурентных мероприятий (ч.1 ст.39 44-ФЗ). Обязанность по рассмотрению заявок ложится на самих заказчиков (п.6 ч.12 ст.93 44-ФЗ)."
"До какой стоимость закупки вруководитель организации враве принять решение о закупке у ЕП?","сведения о закупке у единственного поставщика с начальной (максимальной) ценой, не превышающей 500 тысяч рублей с НДС, при условии получения согласования заключения договора ПЗА заказчика (в случае отсутствия ПЗА у заказчика – согласование ПЗА вышестоящей организации: для организаций прямого управления таким подразделением является ПЗА Корпорации, а для организаций, включенных в регламент взаимодействия – ПЗА управляющей компании)"
"Кто может давать официальные разъяснения ЕОСЗ и распорядительных документов Росатома в области закупок?","Методолог Корпорации"
"Как осуществляется планирование закупок в атомной отрасли?","Планирование закупок осуществляется путем формирования ГПЗ, которая составляется на основании программ, планов, иных документов, определяющих деятельность заказчика с учетом его бюджета."
"На какой срок утверждается ГПЗ?","на 1 год"
"Кто в организации отвечает за обоснованность определения плановой стоимости закупки?","инициатор закупки"
"Заказчик планирует провести закупку образовательных услуг путем проведения мелкой закупки. Плановая стоимость составляет 70 000 рублей с НДС. Обязан ли заказчик включать в ГПЗ информацию о такой закупке? ","нет, не обязан"
"Заказчик планирует закупить информационно-консультационные услуги путем проведения запроса предложений. Плановая стоимость составляет 90 000 рублей с НДС. Обязан ли заказчик включать в ГПЗ информацию о такой закупке?","да, обязан закупка таких услуг регламенти"
"Планируется закупка продукции, влияющей на безопасность объектов использования атомной энергии. Плановая стоимость составляет 50 000 000 рублей. Каким способом закупки можно воспользоваться в этой ситуации?","запрос предложений или конкурс"
"Заказчик I группы планирует закупку легкового автомобиля стоимостью 5 000 000 рублей. Какими способами закупки сможет воспользоваться заказчик в этой ситуации?","аукцион, запрос котировок"
"Сколько источников информации нужно для обоснования НМЦ при проведении упрощенной закупки?","Три источника информации"
"Закупаются средства индивидуальной защиты персонала. Какое дополнительное требование может устанавливаться в документации для данной продукции?","о предоставлении контрольных образцов предлагаемой продукции"
"Укажите минимальный размер обеспечения заявки на участие в закупке","0,5 % НМЦ (цены лота)"
"Участнику закупки поступил запрос об уточнении заявки на участие в закупке. В какой срок участник должен ответить на такой запрос?","в течение 3 рабочих дней после размещения на официальном сайте протокола заседания комиссии об уточнении заявок"
"Какой минимальный срок подачи заявок должен установить заказчик I группы при внесении изменений в конкурсную документацию?","не менее 8 календарных дней"
"В какой срок размещается извещение об отменене закупки?","в день принятия решения заказчиком"
"В какие сроки заключается договор по итогам неконкурентной закупки?","не ранее 3 рабочих дней со дня размещения на официальном сайте аналитической записки/справки-обоснования о проведении закупки"
"Может ли председатель закупочной комиссии воздержаться от голосования при проведении заседания закупочной комисии?","не может"
"Может ли заседание закупочной комиссии быть проведено в заочной форме?","может"
"Если на заседании закупочной комиссии присутствует менее половины участников, является ли такое заседание правомочным?","не является"
"Какое количество членов закупочной комиссии с правом голоса соответствует рекомендациям ЕОСЗ?","не менее 5, не более 12"
"Кто принимает решение об отклонении участника закупки в случае несоответствия его установленнолму требованию?","закупочная комиссия"
